R2,Adjusted_R2,Explained_Variance,MAE,RMSE,MAPE (%),Accuracy_Within_10%,Model,Runtime (s)
0.9987,0.9983,0.9987,10008556728.03,44855583380.71,4.33,90.72,Random Forest,44.66
0.9972,0.9963,0.9972,13677590225.41,66986677831.78,62.64,57.77,Gradient Boosting,4.83
0.9972,0.9963,0.9972,12869024306.12,66725896123.24,28.76,71.35,LightGBM,6.04
0.9956,0.9943,0.9956,11320201255.84,83307060902.07,17.49,73.78,XGBoost,2.79
0.9878,0.9841,0.9879,38387320579.43,138738893341.29,132.99,24.94,K-Nearest Neighbors,0.13
0.9861,0.9819,0.9861,24088915712.94,148215378619.68,8.45,69.49,Decision Tree,0.34
0.9775,0.9707,0.9775,102916348677.59,188544050754.75,4589.72,12.53,Linear Regression,0.1
0.9758,0.9684,0.9758,65167044611.46,195709584401.03,3164.6,25.52,Neural Network (MLP),11.01
0.917,0.8917,0.9171,55609006733.62,362361380687.65,1750.63,22.39,LASSO,1.37
0.8871,0.8528,0.8873,58274752133.74,422546859261.14,1859.69,21.81,Ridge Regression,0.03
-0.0493,-0.3688,0.0,296849088714.64,1288331738462.74,803.37,2.09,Support Vector Regression,7.5
